iter	Logloss
0	0.5939045656
1	0.4955417014
2	0.4043385551
3	0.3664098778
4	0.3176890968
5	0.2977387367
6	0.2717474882
7	0.2444242155
8	0.2228119142
9	0.2057236701
10	0.1924376891
11	0.1892843119
12	0.1804604379
13	0.1785456266
14	0.1701237102
15	0.1617956966
16	0.1535419995
17	0.1476504808
18	0.1430120505
19	0.1305064035
20	0.1251091751
21	0.12061963
22	0.1153447803
23	0.1103700395
24	0.106990305
25	0.1056390261
26	0.1048925101
27	0.1033083996
28	0.1020563649
29	0.1015546573
30	0.09811838694
31	0.09756387459
32	0.09735622539
33	0.09431358353
34	0.09157362044
35	0.0887498363
36	0.08789230447
37	0.08762843588
38	0.08575505275
39	0.08477613364
40	0.08351551471
41	0.08200518021
42	0.07624480305
43	0.07585168569
44	0.07561751703
45	0.07195178533
46	0.06909498929
47	0.06775593714
48	0.06682475558
49	0.06475905448
50	0.06275733225
51	0.0621547303
52	0.0601406775
53	0.05956310754
54	0.0577769257
55	0.05499207186
56	0.05413216015
57	0.05216365578
58	0.05174912736
59	0.05087322872
60	0.05010602856
61	0.04867049868
62	0.04731595773
63	0.045221619
64	0.04362026137
65	0.04290360302
66	0.04120388218
67	0.04022105701
68	0.03888950951
69	0.03756204688
70	0.03608487188
71	0.03534959976
72	0.03346037477
73	0.03257231467
74	0.03204316305
75	0.030551148
76	0.02984308957
77	0.02867688131
78	0.02807209367
79	0.02702914758
80	0.02627116725
81	0.02573604379
82	0.02545728652
83	0.02451207829
84	0.02389697588
85	0.02322730965
86	0.02308830959
87	0.022200392
88	0.02119597666
89	0.02060139832
90	0.02057615888
91	0.01986727337
92	0.01963815032
93	0.01887438605
94	0.01857517977
95	0.01797536701
96	0.01756192571
97	0.01689048481
98	0.01606536547
99	0.01559737812
100	0.01539733818
101	0.01484945572
102	0.01465215573
103	0.01428131472
104	0.01403807961
105	0.01379535397
106	0.01348632398
107	0.01296578474
108	0.01270664068
109	0.01260437619
110	0.01248860795
111	0.01188395802
112	0.01127597517
113	0.01092687261
114	0.01062529465
115	0.01056262333
116	0.01008194177
117	0.009906928626
118	0.009582072123
119	0.009364861517
120	0.009008782946
121	0.008982653113
122	0.008786873836
123	0.008638927136
124	0.008289132412
125	0.008008292145
126	0.007760474315
127	0.007512882541
128	0.007264947611
129	0.007051444865
130	0.006779784787
131	0.006671848084
132	0.006459048037
133	0.006405398636
134	0.006367984483
135	0.00630963928
136	0.006270220936
137	0.006270220936
138	0.006093992307
139	0.005761705632
140	0.005637658792
141	0.005543161246
142	0.005419497346
143	0.005245599105
144	0.005096480049
145	0.004983145628
146	0.004839747799
147	0.004804267647
148	0.004618743445
149	0.004479646882
150	0.004479635903
151	0.004388990526
152	0.004298296566
153	0.004179818024
154	0.004027560923
155	0.003922057001
156	0.003804896135
157	0.003713931054
158	0.003660396268
159	0.00363850872
160	0.003561791983
161	0.003500000757
162	0.003482864128
163	0.003431867543
164	0.003377025202
165	0.003303816597
166	0.003267400598
167	0.003226806476
168	0.003162015372
169	0.003114796949
170	0.003114796949
171	0.003114796949
172	0.003060864028
173	0.00299789897
174	0.002947016712
175	0.002931052036
176	0.002887783759
177	0.002859796079
178	0.002840140935
179	0.00282123208
180	0.002765727656
181	0.002719803132
182	0.002719803132
183	0.00270156033
184	0.002686522135
185	0.002654081783
186	0.00261981859
187	0.00257614502
188	0.002553303728
189	0.00253947126
