iter	Passed	Remaining
0	174	174616
1	193	96765
2	214	71151
3	232	58015
4	250	49873
5	269	44645
6	287	40792
7	305	37918
8	323	35599
9	340	33731
10	357	32153
11	374	30810
12	390	29649
13	410	28880
14	428	28124
15	446	27453
16	464	26843
17	481	26292
18	500	25827
19	518	25401
20	536	25023
21	556	24719
22	573	24357
23	591	24046
24	610	23806
25	628	23556
26	641	23102
27	658	22859
28	675	22624
29	690	22337
30	708	22133
31	722	21851
32	733	21501
33	751	21350
34	768	21180
35	785	21031
36	804	20929
37	813	20597
38	831	20478
39	849	20391
40	870	20360
41	888	20272
42	906	20170
43	923	20056
44	933	19820
45	951	19738
46	968	19646
47	987	19581
48	1010	19615
49	1030	19581
50	1050	19550
51	1067	19467
52	1084	19372
53	1102	19320
54	1119	19229
55	1137	19172
56	1155	19124
57	1173	19052
58	1190	18992
59	1209	18942
60	1226	18872
61	1244	18822
62	1262	18771
63	1279	18710
64	1296	18647
65	1313	18590
66	1332	18553
67	1349	18500
68	1367	18447
69	1385	18407
70	1406	18406
71	1466	18896
72	1495	18986
73	1511	18910
74	1528	18855
75	1546	18798
76	1564	18757
77	1582	18709
78	1601	18666
79	1618	18615
80	1636	18562
81	1654	18525
82	1670	18458
83	1689	18423
84	1707	18380
85	1725	18335
86	1742	18288
87	1760	18244
88	1778	18199
89	1795	18158
90	1806	18040
91	1824	18003
92	1842	17969
93	1860	17935
94	1878	17895
95	1895	17852
96	1913	17814
97	1931	17775
98	1951	17758
99	1969	17722
100	1986	17685
101	2007	17672
102	2024	17627
103	2042	17592
104	2059	17555
105	2074	17497
106	2092	17461
107	2109	17423
108	2127	17389
109	2143	17345
110	2161	17314
111	2179	17279
112	2197	17246
113	2214	17212
114	2232	17181
115	2249	17144
116	2266	17107
117	2284	17073
118	2301	17038
119	2318	17004
120	2335	16968
121	2355	16948
122	2371	16910
123	2392	16903
124	2409	16868
125	2427	16839
126	2446	16816
127	2463	16784
128	2481	16755
129	2499	16729
130	2516	16694
131	2534	16665
132	2552	16638
133	2570	16613
134	2587	16582
135	2606	16556
136	2623	16526
137	2633	16446
138	2650	16418
139	2668	16389
140	2686	16367
141	2703	16338
142	2720	16304
143	2738	16277
144	2755	16246
145	2771	16213
146	2791	16195
147	2810	16178
148	2828	16156
149	2848	16140
150	2865	16112
151	2882	16083
152	2900	16058
153	2919	16036
154	2936	16010
155	2953	15981
156	2971	15957
157	2992	15945
158	3009	15918
159	3027	15895
160	3045	15870
161	3064	15850
162	3081	15821
163	3098	15794
164	3115	15768
165	3132	15740
166	3150	15716
167	3168	15690
168	3188	15679
169	3206	15657
170	3218	15602
171	3234	15573
172	3252	15546
173	3270	15523
174	3287	15500
175	3305	15478
176	3323	15453
177	3340	15426
178	3358	15402
179	3373	15370
180	3391	15345
181	3408	15321
182	3425	15292
183	3442	15266
184	3458	15237
185	3476	15216
186	3494	15193
187	3512	15170
188	3529	15146
189	3547	15121
190	3566	15105
191	3585	15087
192	3601	15060
193	3619	15038
194	3636	15010
195	3649	14969
196	3666	14947
197	3684	14922
198	3700	14895
199	3719	14876
200	3736	14854
201	3754	14831
202	3772	14809
203	3789	14788
204	3806	14763
205	3824	14739
206	3841	14715
207	3859	14696
208	3875	14667
209	3892	14643
210	3975	14865
211	3991	14837
212	4009	14812
213	4026	14787
214	4043	14764
215	4060	14739
216	4077	14714
217	4095	14690
218	4112	14667
219	4132	14652
220	4150	14628
221	4167	14606
222	4184	14580
223	4200	14553
224	4217	14527
225	4235	14504
226	4251	14479
227	4269	14457
228	4286	14432
229	4304	14409
230	4321	14385
231	4338	14362
232	4356	14341
233	4373	14318
234	4391	14295
235	4409	14274
236	4426	14251
237	4445	14233
238	4462	14207
239	4479	14184
240	4498	14166
241	4516	14145
242	4532	14119
243	4549	14097
244	4567	14075
245	4584	14051
246	4601	14029
247	4619	14006
248	4636	13983
249	4653	13959
250	4670	13938
251	4686	13909
252	4703	13887
253	4719	13861
254	4736	13838
255	4756	13822
256	4773	13801
257	4791	13779
258	4808	13757
259	4825	13735
260	4843	13714
261	4860	13691
262	4877	13669
263	4895	13647
264	4912	13625
265	4931	13607
266	4947	13581
267	4963	13556
268	4979	13532
269	4996	13509
270	5013	13486
271	5031	13466
272	5048	13444
273	5064	13419
274	5082	13399
275	5099	13377
276	5116	13354
277	5136	13339
278	5153	13318
279	5171	13297
280	5188	13276
281	5204	13252
282	5220	13226
283	5237	13205
284	5253	13179
285	5270	13158
286	5286	13134
287	5303	13110
288	5319	13087
289	5336	13065
290	5353	13043
291	5371	13023
292	5387	12998
293	5403	12976
294	5421	12956
295	5438	12935
296	5456	12915
297	5473	12894
298	5491	12874
299	5509	12855
300	5528	12839
301	5545	12816
302	5562	12795
303	5578	12771
304	5595	12750
305	5612	12727
306	5628	12706
307	5645	12684
308	5662	12662
309	5679	12640
310	5695	12618
