iter	Passed	Remaining
0	192	19023
1	206	10130
2	221	7171
3	243	5849
4	263	5003
5	282	4420
6	301	4007
7	328	3772
8	349	3528
9	363	3275
10	378	3065
11	392	2880
12	407	2725
13	421	2588
14	435	2469
15	449	2361
16	463	2264
17	478	2179
18	493	2104
19	508	2032
20	520	1957
21	532	1887
22	546	1830
23	556	1762
24	571	1714
25	585	1667
26	600	1623
27	614	1580
28	629	1540
29	643	1501
30	657	1463
31	671	1427
32	685	1392
33	700	1358
34	713	1325
35	729	1297
36	736	1253
37	751	1225
38	765	1197
39	780	1170
40	795	1144
41	803	1109
42	818	1085
43	834	1062
44	851	1040
45	869	1020
46	887	1000
47	895	969
48	912	949
49	927	927
50	943	906
51	964	890
52	979	868
53	994	847
54	1010	826
55	1025	806
56	1046	789
57	1066	772
58	1081	751
59	1097	731
60	1112	711
61	1127	690
62	1142	670
63	1157	651
64	1172	631
65	1187	611
66	1196	589
67	1211	570
68	1225	550
69	1240	531
70	1255	512
71	1269	493
72	1283	474
73	1293	454
74	1308	436
75	1322	417
76	1336	399
77	1350	380
78	1370	364
79	1411	352
80	1427	334
81	1444	317
82	1459	298
83	1474	280
84	1489	262
85	1504	244
86	1519	227
87	1534	209
88	1548	191
89	1562	173
90	1577	156
91	1592	138
92	1609	121
93	1625	103
94	1642	86
95	1661	69
96	1684	52
97	1704	34
98	1720	17
99	1733	0
