iter	Logloss
0	0.6751142164
1	0.6603257966
2	0.6433505958
3	0.6275098207
4	0.6150072624
5	0.5967769225
6	0.5817733312
7	0.5719606393
8	0.5557946499
9	0.5470914893
10	0.5359125325
11	0.5245535473
12	0.514225444
13	0.5062946381
14	0.4950138365
15	0.4798722199
16	0.4670191639
17	0.4559536304
18	0.4479662864
19	0.4367008457
20	0.426755725
21	0.4163554097
22	0.4088647419
23	0.3992708783
24	0.3926700285
25	0.3859051343
26	0.3773911134
27	0.3726119338
28	0.3662878887
29	0.3598286828
30	0.352475805
31	0.3438568849
32	0.3395326855
33	0.3332110771
34	0.3269776184
35	0.3228477991
36	0.3170995328
37	0.3115741801
38	0.306234383
39	0.3020640538
40	0.2970648272
41	0.2944856654
42	0.2931613016
43	0.2885201731
44	0.285794595
45	0.280872089
46	0.2783471743
47	0.2755347673
48	0.2730459976
49	0.27038415
50	0.2672196583
51	0.2668570964
52	0.2627109556
53	0.2603745654
54	0.256902678
55	0.2541265316
56	0.2528138988
57	0.249676823
58	0.2468523352
59	0.2439395707
60	0.2417940725
61	0.2381116325
62	0.2340360964
63	0.2300371679
64	0.2270593773
65	0.2257473735
66	0.2220640792
67	0.2196196459
68	0.2177162757
69	0.2155435652
70	0.2131790808
71	0.2093875049
72	0.2076337409
73	0.2048775844
74	0.202974563
75	0.1992142584
76	0.198363905
77	0.1972629362
78	0.1953856834
79	0.1939400981
80	0.1932431695
81	0.1915769455
82	0.1909051917
83	0.1900236524
84	0.1871212366
85	0.1859222711
86	0.1841266744
87	0.1825894559
88	0.1820499907
89	0.1806504341
90	0.1790028609
91	0.1777707981
92	0.1767300414
93	0.1750334567
94	0.1728900558
95	0.1726916206
96	0.1720318222
97	0.1702647606
98	0.1684204964
99	0.167501962
