iter	Passed	Remaining
0	14	14694
1	29	14836
2	43	14566
3	58	14508
4	69	13825
5	82	13732
6	96	13674
7	110	13761
8	124	13717
9	139	13786
10	153	13785
11	167	13765
12	181	13753
13	187	13192
14	201	13204
15	215	13263
16	233	13492
17	247	13498
18	261	13497
19	275	13493
20	288	13466
21	302	13468
22	316	13442
23	326	13258
24	339	13230
25	353	13235
26	366	13215
27	380	13199
28	394	13193
29	407	13180
30	422	13213
31	440	13322
32	454	13323
33	468	13319
34	482	13308
35	496	13284
36	508	13244
37	522	13234
38	536	13229
39	550	13210
40	566	13243
41	581	13252
42	595	13254
43	609	13244
44	624	13246
45	641	13300
46	656	13314
47	672	13328
48	687	13346
49	703	13362
50	718	13378
51	734	13382
52	749	13400
53	765	13412
54	782	13440
55	796	13431
56	811	13428
57	826	13422
58	840	13408
59	857	13435
60	871	13421
61	888	13446
62	905	13465
63	922	13492
64	939	13516
65	956	13531
66	973	13554
67	992	13605
68	1016	13715
69	1051	13964
70	1070	14005
71	1086	14010
72	1104	14019
73	1118	13991
74	1131	13957
75	1145	13922
76	1158	13892
77	1173	13872
78	1187	13847
79	1202	13832
80	1217	13814
81	1231	13790
82	1248	13790
83	1265	13799
84	1284	13823
85	1300	13823
86	1317	13825
87	1334	13828
88	1350	13825
89	1367	13823
90	1383	13823
91	1400	13821
92	1416	13813
93	1433	13816
94	1447	13790
95	1461	13762
96	1476	13746
97	1492	13739
98	1508	13732
99	1523	13714
100	1537	13683
101	1550	13651
102	1563	13619
103	1578	13600
104	1595	13601
105	1612	13598
106	1629	13600
107	1645	13593
108	1663	13594
109	1681	13601
110	1698	13599
111	1713	13587
112	1727	13560
113	1741	13532
114	1754	13503
115	1767	13471
116	1781	13447
117	1796	13425
118	1810	13403
119	1825	13386
120	1839	13361
121	1853	13337
122	1868	13319
123	1881	13293
124	1899	13294
125	1913	13272
126	1927	13249
127	1941	13226
128	1955	13206
129	1970	13184
130	1984	13166
131	1999	13147
132	2016	13147
133	2038	13174
134	2053	13160
135	2069	13145
136	2093	13186
137	2112	13195
138	2127	13181
139	2142	13159
140	2156	13139
141	2171	13117
142	2185	13096
143	2200	13080
144	2215	13064
145	2230	13049
146	2244	13022
147	2258	13000
148	2272	12976
149	2286	12954
150	2302	12943
151	2320	12943
152	2335	12928
153	2349	12908
154	2365	12897
155	2381	12886
156	2398	12876
157	2413	12864
158	2429	12849
159	2445	12836
160	2460	12820
161	2475	12807
162	2492	12798
163	2509	12794
164	2527	12790
165	2543	12776
166	2557	12759
167	2573	12742
168	2587	12724
169	2602	12705
170	2617	12687
171	2631	12669
172	2646	12651
173	2660	12628
174	2676	12619
175	2692	12607
176	2708	12593
177	2725	12585
178	2742	12577
179	2758	12566
180	2773	12551
181	2790	12540
182	2805	12524
183	2821	12511
184	2836	12495
185	2852	12481
186	2868	12469
